t1_mass,rx_mass,ry_mass,rz_mass,Vx_mass,Vy_mass,Vz_mass,Lam1_mass,Lam2_mass,Lam3_mass,omx_mass,omy_mass,omz_mass,Omx_mass,Omy_mass,Omz_mass,Lam_tr_mas1,Lam_tr_mas2,Lam_tr_mas3,Fi_mas,Fi_mas_tr
345.99999999983,1084598.85019124,-5859452.64601428,3939559.53166277,4280.95825350416,-4214.52205590489,-5975.2727523613,1.4102844893983e-10,-1.61196298017906e-09,0.087321406196528,-1.98409378937514e-17,-2.61037674046542e-10,-4.090061073235e-10,2.62224643170538,0.69078676145112,1.05118641058157,0,0,0.0871557427476591,0.123688046061872,0.174532925199435
346.999999999829,1088879.21514734,-5863663.96627552,3933582.10223836,4279.77094551387,-4208.11805698428,-5979.58476422429,1.52394383400937e-10,-1.74187631912809e-09,0.0873214059937534,-1.97983237596346e-17,-2.59922104233394e-10,-4.09186447147402e-10,2.62224643169634,0.690526639675068,1.05079227065722,0,0,0.0871557427476591,0.12368804595799,0.174532925199435
347.999999999829,1093158.3906568,-5867868.88131156,3927600.3647994,4278.57936112455,-4201.71160801832,-5983.88878086443,1.63711627122594e-10,-1.87123312010265e-09,0.087321405790888,-1.97554109786247e-17,-2.58805908270153e-10,-4.09362619016193e-10,2.62224643168605,0.690250354604584,1.05037264460448,0,0,0.0871557427476591,0.123688045853166,0.174532925199435
348.999999999828,1097436.3724459,-5872067.38867984,3921614.32734289,4277.38350567697,-4195.30272393883,-5988.184798709,1.74980153138079e-10,-2.00003307486639e-09,0.0873214055879342,-1.97115487679182e-17,-2.57689102457838e-10,-4.09534494769946e-10,2.62224643167453,0.689957976653972,1.04992752164897,0,0,0.0871557427476591,0.123688045747465,0.174532925199435
349.999999999827,1101713.15624626,-5876259.48595271,3915623.99786942,4276.18338452374,-4188.89141967226,-5992.47281422141,1.86199935191384e-10,-2.12827588330631e-09,0.0873214053848941,-1.96673783306826e-17,-2.56571703070388e-10,-4.09702241226629e-10,2.62224643166179,0.689649576272929,1.04945689131881,0,0,0.0871557427476591,0.123688045640791,0.174532925199435
350.999999999826,1105988.73779484,-5880445.17071743,3909629.38438306,4274.97900302926,-4182.47771013952,-5996.75282390108,1.9737094773585e-10,-2.25596125342003e-09,0.0873214051817692,-1.96221878850556e-17,-2.55453726360944e-10,-4.09865753724508e-10,2.62224643164781,0.689325223945521,1.04896074337307,0,0,0.0871557427476591,0.123688045533262,0.174532925199435
351.999999999825,1110263.11283399,-5884624.44057621,3903630.49489138,4273.77036656962,-4176.06161025597,-6001.02482428353,2.0849316593429e-10,-2.38308890130663e-09,0.0873214049785623,-1.95757488724001e-17,-2.54335188558626e-10,-4.10024924883567e-10,2.62224643163261,0.688984990189155,1.04843906783534,0,0,0.0871557427476591,0.123688045424799,0.174532925199435
352.999999999824,1114536.27711145,-5888797.29314613,3897627.3374054,4272.55748053259,-4169.64313493121,-6005.28881194027,2.19566565656522e-10,-2.50965855115125e-09,0.0873214047752753,-1.9528725359247e-17,-2.53216105863516e-10,-4.10179918529755e-10,2.62224643161619,0.688628945553575,1.04789185502788,0,0,0.0871557427476591,0.123688045315441,0.174532925199435
353.999999999823,1118808.22638033,-5892963.72605922,3891619.91993954,4271.34035031755,-4163.2222990691,-6009.54478347881,2.30591123478655e-10,-2.63566993521311e-09,0.0873214045719101,-1.94808964347426e-17,-2.52096494453277e-10,-4.10330716019665e-10,2.62224643159856,0.688257160619837,1.04731909551426,0,0,0.0871557427476591,0.123688045205171,0.174532925199435
354.999999999822,1123078.95639916,-5897123.73696239,3885608.2505116,4270.11898133545,-4156.79911756756,-6013.79273554264,2.41566816682379e-10,-2.76112279381407e-09,0.0873214043684696,-1.94325987830823e-17,-2.50976370479214e-10,-4.10477394924366e-10,2.62224643157972,0.6878697059993,1.04672078013416,0,0,0.0871557427476591,0.123688045094013,0.174532925199435
